state_5,region,state_abbreviation,median_home_listing_price,x30_year_fixed_mortgage_rate,monthly_mortgage_payment,median_household_income,number_of_hours_per_month_to_afford_a_home,rate,nper,pv,monthly_income,pct
Ohio,Midwest Region,OH,122160,0.04,445,34775,26.3,0.04,360,97728,2897.9166666666665,0.15126709620344428
Tennessee,South Region,TN,209250,0.04,760,42033,35.45,0.04,360,167400,3502.75,0.20391456160477142
New York,Northeast Region,NY,444000,0.04,1614.5,42645.5,67.45,0.04,360,355200,3553.791666666667,0.38770238159712345
Maryland,South Region,MD,139000,0.04,504,42241,24.9,0.04,360,111200,3520.0833333333335,0.14317842854099097
Kansas,Midwest Region,KS,153900,0.04,558,45947,25.3,0.04,360,123120,3828.9166666666665,0.14573312729884433
Indiana,Midwest Region,IN,147450,0.04,536,42880.5,26.1,0.04,360,117960,3573.375,0.150022569465798
Wisconsin,Midwest Region,WI,194850,0.04,706,45427,31.35,0.04,360,155880,3785.5833333333335,0.18034700252402697
Texas,South Region,TX,271596.07692307694,0.04,983,51280.53846153846,40.353846153846156,0.04,360,217276.84615384616,4273.378205128205,0.23200266064025882
Oklahoma,South Region,OK,180000,0.04,651.5,45031.5,30.25,0.04,360,144000,3752.625,0.1739585915000059
Arizona,West Region,AZ,312171.5714285714,0.04,1134.5714285714287,58352.42857142857,40.528571428571425,0.04,360,249737.2857142857,4862.702380952381,0.23295439456587777
North Carolina,South Region,NC,236760,0.04,857,48193,36.56,0.04,360,189408,4016.0833333333335,0.21030790644781244
Alaska,West Region,AK,315000,0.04,1158,78326,30.9,0.04,360,252000,6527.166666666667,0.1774123534969231
Florida,South Region,FL,285999,0.04,1036.4,39885.833333333336,55.22,0.04,360,228799.2,3323.8194444444443,0.3174312945915096
Missouri,Midwest Region,MO,171620,0.04,624,40710,31.95,0.04,360,137296,3392.5,0.18368477618949663
Minnesota,Midwest Region,MN,237450,0.04,862.5,50118.5,35.8,0.04,360,189960,4176.541666666667,0.20589825772671314
Virginia,South Region,VA,264975,0.04,959,55123,37.075,0.04,360,211980,4593.583333333333,0.213053222535077
Nebraska,Midwest Region,NE,219975,0.04,799,49868,33.45,0.04,360,175980,4155.666666666666,0.19226521501802402
Nevada,West Region,NV,308850,0.04,1123.25,53211.25,44.75,0.04,360,247080,4434.270833333333,0.2571972534473299
Washington,West Region,WA,437000,0.04,1585.5,56490,53.8,0.04,360,349600,4707.5,0.3095031122954525
California,West Region,CA,574182.4117647059,0.04,2075.8823529411766,61993.58823529412,68.05882352941177,0.04,360,459345.9411764706,5166.132352941177,0.3913801061898964
Pennsylvania,Northeast Region,PA,187450,0.04,678,39484,35.85,0.04,360,149960,3290.333333333333,0.20600255261912936
New Mexico,West Region,NM,219900,0.04,803,47030,35.6,0.04,360,175920,3919.1666666666665,0.20489049542844992
New Jersey,Northeast Region,NJ,319875,0.04,1156.5,46338,49.1,0.04,360,255900,3861.5,0.2823893674511437
Louisiana,South Region,LA,251500,0.04,909,38334,49.95,0.04,360,201200,3194.5,0.28713164430085514
Idaho,West Region,ID,269900,0.04,982,50323,40.7,0.04,360,215920,4193.583333333333,0.234167279375236
Colorado,West Region,CO,371333.3333333333,0.04,1347.6666666666667,53725,52.4,0.04,360,297066.6666666667,4477.083333333333,0.30115905760433515
Illinois,Midwest Region,IL,299000,0.04,1086,48522,46.7,0.04,360,239200,4043.5,0.2685792011870904
Georgia,South Region,GA,329900,0.04,1191,47527,52.3,0.04,360,263920,3960.5833333333335,0.30071327876785825
District of Columbia,South Region,NA,550000,0.04,2000,70848,58.9,0.04,360,440000,5904,0.33875338753387535
Oregon,West Region,OR,439900,0.04,1598,55003,60.6,0.04,360,351920,4583.583333333333,0.348635528971147
Hawaii,West Region,HI,629000,0.04,2293,74460,64.3,0.04,360,503200,6205,0.3695406929895246
Massachusetts,Northeast Region,MA,699000,0.04,2530,55777,94.7,0.04,360,559200,4648.083333333333,0.5443103788299837
Michigan,Midwest Region,MI,NA,0.04,NA,25764,NA,0.04,360,NA,2147,NA
